bins,srs_values,bkg_values
2.334669338677355e-05,1666.1479736193812,2844.0
2.3547094188376753e-05,1587.3566622948201,2794.0
2.374749498997996e-05,1624.8305786565015,2807.0
2.394789579158317e-05,1526.8218743259497,2708.0
2.4148296593186375e-05,1507.6044813199592,2644.0
2.434869739478958e-05,1542.1957887307422,2637.0
2.4549098196392788e-05,1476.8566525103743,2736.0
2.4749498997995996e-05,1432.6566485965961,2629.0
2.49498997995992e-05,1426.8914306947988,2600.0
2.5150300601202406e-05,1453.7957809031857,2628.0
2.5350701402805614e-05,1459.5609988049828,2510.0
2.5551102204408822e-05,1469.1696953079781,2556.0
2.5751503006012024e-05,1399.0262108361126,2488.0
2.5951903807615232e-05,1375.965339228924,2453.0
2.615230460921844e-05,1335.6088139163437,2401.0
2.6352705410821645e-05,1386.5349053822188,2425.0
2.655310621242485e-05,1371.1609909774263,2366.0
2.6753507014028058e-05,1384.6131660816197,2386.0
2.6953907815631266e-05,1372.1218606277257,2288.0
2.715430861723447e-05,1271.2305473462754,2294.0
2.7354709418837676e-05,1316.3914209103532,2455.0
2.7555110220440884e-05,1233.7566309845938,2294.0
2.7755511022044092e-05,1276.034895597773,2305.0
2.7955911823647297e-05,1272.1914169965748,2211.0
2.8156312625250502e-05,1192.4392360217141,2151.0
2.835671342685371e-05,1232.7957613342942,2235.0
2.855711422845692e-05,1239.521848886391,2197.0
2.8757515030060123e-05,1207.8131504265066,2178.0
2.8957915831663328e-05,1218.3827165798014,2150.0
2.9158316633266536e-05,1181.8696698684194,2191.0
2.935871743486974e-05,1195.3218449726126,2147.0
2.9559118236472946e-05,1175.1435823163226,2266.0
2.9759519038076154e-05,1192.4392360217141,2167.0
2.9959919839679363e-05,1129.9827087522447,2129.0
3.0160320641282567e-05,1158.8087982612305,2072.0
3.0360721442885772e-05,1158.8087982612305,2007.0
3.056112224448898e-05,1127.1000998013462,2040.0
3.076152304609218e-05,1126.1392301510466,2144.0
3.09619238476954e-05,1116.5305336480515,1991.0
3.11623246492986e-05,1043.5044402252872,2037.0
3.1362725450901807e-05,1088.665313789365,2032.0
3.1563126252505015e-05,1072.3305297342731,2048.0
3.1763527054108216e-05,1035.817483022891,1992.0
3.196392785571143e-05,1093.4696620408627,1920.0
3.216432865731463e-05,991.6174791091128,1824.0
3.2364729458917834e-05,1025.2479168695963,1927.0
3.256513026052105e-05,1017.5609596672,1996.0
3.276553106212425e-05,1010.8348721151033,1830.0
3.296593186372745e-05,1045.4261795258863,1934.0
3.316633266533067e-05,1016.6000900169005,1943.0
3.336673346693387e-05,1028.1305258204948,1881.0
3.356713426853708e-05,968.5566075019241,1901.0
3.3767535070140285e-05,946.4566055450349,1806.0
